First name,Last Name,School,Category,PhD,Provided Keywords,Abstract 1,Abstract 2,Abstract 3,Random,Skip
Nicholas,Guest,Cornell University,Accounting,No,"Accounting, Investments, Quantitative Modeling, Financial Media","We provide evidence that a firm’s investor base is a key factor in determining its media coverage. Using a large sample of US public companies spanning the period 2000-2019, we find that firm-specific media coverage is negatively associated with leverage. Our results suggest the media caters relatively more to equity investors, who largely rely on public information, than to debt investors, who are often privy to privileged information. We arrive at similar conclusions when we exploit plausibly exogenous changes in investor base and investor access to privileged information. Among debt investors, the media appears to cater to public bond holders more than private banks. Among equity investors, the media appears to cater to quasi-index institutions. Additionally, cross-sectional variation in media coverage based on investment and article types reveals that the media’s role is far more nuanced than previously documented. Overall, our findings suggest that financial media coverage is significantly influenced by less sophisticated professional investors’ demand for information to help monitor firms.","CEOs of S&P 500 firms that report high non-GAAP earnings relative to GAAP earnings receive substantial unexplained pay. Crucially, this result remains even after controlling for the level of non-GAAP and GAAP earnings. These firms are relatively poor performers (ie, low GAAP earnings and stock returns) and have less powerful CEOs, consistent with non-GAAP earnings being used as justification when high executive pay is more likely to cause outrage. Additionally, despite the lower GAAP and return performance, these firms are more likely to beat the earnings targets specified in their compensation plans, which likely increases investors’ perceptions of core operating earnings and reduces outrage. Indeed, these firms face less dissent from shareholders and proxy advisors, and no additional media scrutiny. Our evidence suggests that the fraction of CEO pay that seems attributable to opportunistic non-GAAP reporting, while limited, is economically meaningful.","This paper examines how the media responds to deterioration in a firm’s information environment. We exploit brokerage mergers and closures as a negative shock that affected not only analyst coverage, but also market prices and liquidity as well as firms’ real and disclosure decisions. We find an increase in media coverage of affected firms’ earnings announcements (EA). This is the case for both in-depth articles and headline alerts. However, the increase in EA coverage is more than offset by a decrease during other periods, which is likely the result of increased costs of covering non-EA news. When we examine the editorial content of the coverage, we find that EA articles become more negative and more informative, as measured by the ability of media sentiment to predict future performance. Crucially, the changes we document in both the quantity and content of media coverage are concentrated among firms that already had relatively poor information environments. Overall, our paper provides nuanced evidence on the media’s dependence on the proper functioning of other aspects of a firm’s information environment.",,
Han,Xia,University of Texas at Dallas,Finance,No,"Household credit, student loans, financial institutions","We show that technology spillovers shift the composition of corporate research and development by promoting innovation based on the exploitation of existing knowledge while disincentivizing innovation that explores new areas and breaks new ground. Accordingly, firms facing large technology spillovers attain fewer superstar inventors among their human capital, who are important drivers of breakthrough technology advancement. These findings complement the existing studies documenting the positive effect of technology spillovers in increasing firms’ overall innovation outputs; they highlight potential downsides of technology spillovers in reducing firm investment in technology breakthrough and valuable human capital.","This paper tests whether family financial shocks affect human capital formation. We compare treated (control) college students enrolled in the same course contemporaneously at the same university, whose families reside in areas that experience (do not experience) climate events. Families in affected areas are more likely to become financially constrained. Afterward, treated students exhibit poorer academic performance, are less likely to enroll in STEM courses, are more likely to quit courses or drop out, and are more likely to default on student loans later in life. The effects are mostly driven by disruption to family financial resources rather than psychological stress. The effects are stronger for middle class students relying on family income to pay for college; poor students are immune from the financial disruption because they already rely heavily on external financing; high-income family students can navigate disasters with little impact because contributions to college attendance stem from wealth rather than income. Additionally, male and non-white students are more negatively affected by financial disruption. Our results suggest implications for families disrupted by the COVID-19 pandemic and, more broadly, suggest consequences for climate change to the extent it exacerbates weather volatility.","This paper shows that perseverant behavior during college predicts default risk later in life. Using college transcripts, we find that students who voluntarily repeat courses after performing poorly are 10% less likely to default than peers who give up after comparably poor performance in the same courses at the same institutions. Conversely, students who quit courses mid-semester are more likely to default than their perseverant peers. Utilizing post-college financial distress, second differences, and proof by contradiction, we show that factors potentially confounding the observed behavior, such as students’ private information about human capital value, are unlikely to explain our results.",,
Shijia,Wu,The Chinese Univeristy of Hong Kong - Shenzhen,Accounting,No,,"We propose the visual attention hypothesis that visuals in firm earnings announcements increase attention to the earnings news. We find that visuals in firms’ Twitter earnings announcements are associated with more retweets, consistent with greater user engagement with announcements that have visuals. This result holds for earnings tweets sent by the same firm and on the same day in firm-level and tweet-level analyses. Consistent with managerial opportunism, firms are more likely to use visuals in their earnings tweets when performance is good but less persistent. Consistent with visuals increasin g investor attention, the initial return response to earnings news is stronger and the post-announcement response is lower when visuals are used. Our evidence of a post-announcement return reversal indicates that visuals can be a double-edged sword. Furthermore, the higher earnings response coefficient from visuals is more pronounced on days with high investor distraction (when many other firms are also announcing earnings).","Using comment streams on Seeking Alpha articles, we examine whether interacting on social media increases or moderates the extremeness of investors’ opinions. We exploit machine learning based text analysis algorithms to classify not just the direction of opinion expressed in a given comment, but how extreme it is. Unlike findings from political science, which show online interaction increasing extremeness, we find that in the context of analyzing companies and stocks, online interaction moderates extremeness. Both in terms of directional extremeness, and extremeness of language used, comments become less extreme over the sequence of comments for a given article, within individual comment sub-threads, and over a single user’s comments for a given article. Extremeness moderation occurs both following earnings announcements and during non-earnings-announcement windows. Additional analyses provide insights as to what factors might drive extremeness-moderation. Extremeness reduction is strongest when users are selfidentified (ie, not anonymous), and when the article users are commenting on is more moderate. Finally, results suggest that the extremeness reduction triggered by Seeking Alpha articles has market implications. Market-based differences of opinion measures decrease significantly after Seeking Alpha articles, but not after matched non-article days, analyst forecast days, or news article days. Our results provide the first evidence of the influence of interaction on social media on individuals’ opinion formation in the context of company and stock analysis.","Using comment streams on Seeking Alpha articles, we examine whether interacting on social media increases or moderates the extremeness of investors’ opinions. Unlike some findings from political science that show social media increases extremeness of opinions, we find that interaction on Seeking Alpha moderates extremeness. Comments become less extreme over the sequence of comments for a given article, as well as within individual comment sub-threads, and over a single user’s comments for a given article. Extremeness reduction is stronger when the article itself is more moderate, and when more users are self-identified (ie, not anonymous). Results also suggest that the extremeness reduction triggered by Seeking Alpha interaction has capital market implications. Differences of opinion captured by stock-based measures, abnormal volume and turnover, decrease significantly after the release of Seeking Alpha articles with comments. Our results provide the first evidence of the effect of social media interaction on the updating of individuals’ opinions.",,
Ryan,Guggenmos,Cornell University,Accounting,No,"Social Media, Fintech Intermediaries","Archival accounting research documents a robust association between misreporting and suboptimal firm performance, and proposes economics-based explanations. Our study provides an additional behavioral explanation. Drawing on psychology research, we predict that misreporting leads to worse cognitive performance than truthful reporting, which could impact the quality of firms’ operating decisions. And further, that the effect will be stronger when individuals anticipate future scrutiny of their misreporting. Using a controlled experiment, we find that misreporting in one task leads to worse performance in an unrelated cognitive task. Contrary to our prediction, we find that this effect holds whether misreporters anticipate imminent scrutiny of their reporting, or whether they have already misreported and no longer anticipate imminent scrutiny. Our findings suggest that misreporting increases cognitive load by taxing cognitive capacity both in anticipation and following scrutiny. Our study complements prior archival research on misreporting by providing additional evidence as to why and how misreporting might be associated with suboptimal firm performance.","We examine how information dissemination via mobile device applications (apps) affects nonprofessional investors' judgments. In response to the prevalence of mobile device use, the media ungroups content into smaller pieces to accommodate users, and apps use push notifications to highlight this content. These changes increase users' ability to access investment information in real time, leaving some investors feeling as if they are missing out if they are not continuously connected. We validate a scale to capture investors' fear of missing out on investment information (I-FoMO) and document that I-FoMO is distinct from traditional FoMO that occurs in social settings. Then, using an experiment, we find that receiving ungrouped content via a mobile device has a greater effect on investment allocations in the presence, rather than absence, of push notifications. Further, we find that these results hold for higher, but not for lower, I-FoMO investors.","This paper discusses the role of process evidence in accounting research. We define process evidence broadly as data providing insight into how and why cause-effect relationships occur, and we provide a framework to guide the provision and evaluation of process evidence in accounting studies. Our definition allows for an expanded understanding of techniques for gathering process evidence. The framework highlights the importance of the study’s goals and theory in choosing how to provide process evidence as well as how much process evidence to provide. The paper also outlines the strengths and limitations of three approaches to providing process evidence: mediation, moderation, and multiple-study based designs. We provide recommendations for best practices for each approach to minimize threats to validity and maximize the value of process evidence.",,
Jeff,McMullin,Indiana University ,Accounting ,No,"Disclosure, networks, information theory, causal inference, text analysis, AI, ML, ","In many research settings, entropy balancing (Hainmueller 2012) is a convenient statistical method for reweighting a control sample to achieve covariate balance with a treatment sample of interest. Despite this, researchers raise several concerns and questions not specifically addressed by Hainmueller (2012). We discuss a handful of the most common issues that arise in empirical-archival accounting research settings. We demonstrate these issues and propose empirical solutions, using the setting of estimating the Big-N audit fee premium as an empirical illustration.","Transfer entropy is an information measure that quantifies information flow between processes evolving in time. Transfer entropy has a plethora of potential applications in financial markets, canonical systems, neuroscience, and social media. We offer a fast open source Python implementation called PyIF that estimates Transfer Entropy with Kraskov's method. PyIF utilizes KD-Trees, multiple processes by parallelizing queries on said KD-Trees, and can be used with CUDA compatible GPUs to significantly reduce the wall time for estimating transfer entropy. We find from our analyses that PyIF's GPU implementation is up to 1072 times faster (and it's CPU implementation is up 181 times faster) than existing implementations to estimate transfer entropy on large data and scales better than existing implementatin.","This study assesses whether the accrual-generating process is adequately described by a linear model with respect to a range of underlying determinants examined by prior literature. We document substantial departures from linearity across the distributions of accrual determinants, including measures of size, performance, and growth. To incorporate non-linear relations, we employ a recently developed multivariate matching approach (entropy balancing) to adjust for determinants in place of relying on a linear model. Entropy balancing identifies weights for the control sample to equalize the distribution of determinants across treatment and control samples. In simulations drawing random samples from deciles where a linear model displays poor fit, we find that entropy balancing significantly improves accrual model specification by reducing coefficient bias relative to linear and propensity-score matched models. Consistent with entropy balancing retaining sufficient power, we find that its estimates detect seeded accrual manipulations and explain variation in accruals around equity issuances.",,
Siew Hong,Teoh,UCLA,Accounting,No,"behavioral accounting, visual information, big data","We propose the visual attention hypothesis that visuals in firm earnings announcements increase attention to the earnings news. We find that visuals in firms’ Twitter earnings announcements are associated with more retweets, consistent with greater user engagement with announcements that have visuals. This result holds for earnings tweets sent by the same firm and on the same day in firm-level and tweet-level analyses. Consistent with managerial opportunism, firms are more likely to use visuals in their earnings tweets when performance is good but less persistent. Consistent with visuals increasin g investor attention, the initial return response to earnings news is stronger and the post-announcement response is lower when visuals are used. Our evidence of a post-announcement return reversal indicates that visuals can be a double-edged sword. Furthermore, the higher earnings response coefficient from visuals is more pronounced on days with high investor distraction (when many other firms are also announcing earnings).","Firms often register trademarks as they launch new products or services. We find that the number of new trademark registrations positively predicts firm profitability, stock returns, and underreaction by analysts in their earnings forecasts. Using the Federal Trademark Dilution Act (FTDA) as an exogenous shock to trademark protection, we find that greater trademark protection strengthens the predictability of new trademark registrations. Together, our evidence suggests that investors undervalue new trademark registrations.","We test how market overvaluation affects corporate innovation. Estimated stock overvaluation is strongly associated with measures of innovative inventiveness (novelty, originality, and scope), as well as research and development (R&D) and innovative output (patent and citation counts). Misvaluation affects R&D more via a nonequity channel than via equity issuance. The sensitivity of innovative inventiveness to misvaluation increases with share turnover and overvaluation. The frequency of exceptionally high innovative inputs/outputs increases with overvaluation. This evidence suggests that market overvaluation may generate social value by increasing innovative output and encouraging firms to engage in “moon shots.”",,
Tiange,Ye,USC,Finance,Yes,"Empirical Asset Pricing, Behavioral Finance, Big data",,,,yes,
Jesse,Gardner,USC,Accounting,Yes,"Financial Reporting, Taxation, Social Media",,,,yes,
Wenwei,Lin,University of Minnesota,Accounting,Yes,"Retail Trading, Social Media, and Disclosure",,,,yes,
Zhao,Zhang,USC,Finance,Yes,,"The popularity of smart devices and the increase of access rate are switching Internet from link-centric (host-to-host) to content-centric (user-to-content). Since the primary purpose of users is to find their desired contents from the Internet, the traditional host-to-host structure will cause lots of useless traffic and decrease the network efficiency. Content-centric network (CCN) is then introduced to solve this embarrassed situation. As a new-born technology, CCN has not fully explored its potential to utilize the knowledge embedded in the contents. Hence, we propose to enhance the information extraction capability of CCN with data driving methods. Specifically, we add a label vector containing feature descriptions for each content, and then apply neural network (NN) to model users' behavior and predict their responses to new contents. To further increase prediction accuracy and potential benefits, we group users into different cells. The behavior sets of users in a cell at different time intervals are modeled by a series of NNs. Moreover, we design a new caching policy to improve network caching efficiency. Benefits in other aspects and future research directions are also discussed. Quantitative evaluations of the proposed model and caching policy are presented in the end of this paper.","The cognitive radio technology allows secondary user (SU) to share the licensed spectrum by adapting its transmission power in a sensing-based spectrum sharing manner. Reliable spectrum prediction and channel selection could alleviate the processing delays and enhance the spectrum utilization. In this paper, we propose a new strategy for spectrum prediction and channel selection using online machine learning techniques, which consists of three stages: 1) SU utilizes online learning techniques for the regression of received transmit power on different licenced frequency bands; 2) SU predicts the probability of each primary user's status (busy/idle) based on the power regression results; 3) SU optimizes channel selection in terms of expected ergodic capacities from the prediction outcomes. The proposed strategy can not only save time and energy, but also enhance the throughput of SU. The performance of the proposed strategy is evaluated through extensive simulations.",,,
TJ,Wong,USC,Accounting,No,Textual analysis; social media; field experiments ,"When emerging market firms disclose relationship-based transactions, they face a trade-off in which greater transparency may help lower their cost of capital at the cost of revealing proprietary information. We find that firms overcome this challenge by relying on analysts within their private networks (i.e., connected analysts) who, through repeated interaction with the firm, can better verify relationship-based transactions. Using Chinese firms, we show that firms with more connected analysts have more accurate consensus forecasts and lower forecast dispersion. When a connected analyst departs and stops covering a firm, the accuracy and informativeness of the unconnected analysts' forecasts decrease, suggesting that information spills over from the connected analyst to analysts outside the network. We find a potential mechanism for this information spillover: communication through common institutional clients, which suggests that embedded financial analysts—those sharing close connections with firms and analysts—serve as a channel for disseminating proprietary, hard-to-verify information.","This paper examines whether social media delineate the bias of state-controlled traditional media by supplying less optimistically biased information to the market. Using a comprehensive sample of corporate news articles of Chinese newspapers and posts of an online stock forum, East Guba, from 2009 to 2016, we find that East Guba’s tone is less positively associated with that of the newspapers for the same firm on the same day when the newspapers are expected to be more optimistically biased. This decline in association in tone is significantly larger since the 2015 political shock which suppressed the reporting of negative corporate news by traditional media. Finally, when the tone of the newspapers deviates positively from that of East Guba, the newspaper articles are perceived by the market to be less credible as reflected in their significantly attenuated stock return response.","This paper examines whether, in an autocratic regime such as China, social media that rely on the wisdom of crowds correct the bias of state-controlled traditional media by supplying less optimistically biased information to the market. Using a comprehensive sample of Chinese newsppaper corporate news articles and posts of an online stock forum, East Guba, from 2009 to 2016, we find that the positive association of the tone of newspapers and East Guba of the same firm on the same day is significantly reduced when newspapers are expected to exhibit more optimistic bias, consistent with our conjecture that social media plays a role in correcting the bias of traditional media. Further analyses show that political factors such as state ownership of the firms being covered and the political sensitivity of the periods during which the articles are posted shape East Guba’s monitoring role in correcting the newspapers’ bias. Finally, the stock return results also support the conjecture that social media supplies information that serves as a benchmark to delineate the bias of traditional media. When the tone of traditional media deviates positively from that of social media, the stock return response to traditional media’s articles is significantly attenuated, but we do not find any significant change in stock return response to social media’s posts when their tone deviates from that of traditional media.",,
Chris,Jones,USC,Finance,No,,"We introduce a generalized statistical learning method, sparse orthogonal factor regression (SOFAR), in testing linear factor models with both large numbers of factors and testing assets. Our approach encompasses most of the existing methods in the literature and can be used in many other scenarios with large data sets. Applying SOFAR, we can select the latent factors from the whole swath of 219 candidate factors proposed by the literature simultaneously, identify test assets associated with the selected latent factors, and interpret them. We can also select the latent factors and correlated characteristics in the IPCA framework without bootstrapping. Without firm characteristics instrumenting, we find that four latent factors (market, investment, intangible, and frictions) are relevant to the covariance of asset returns and three types of factors (profitability, asset liquidity, and liquidity bets) price assets in cross-section. We also find that the out-of-sample prediction for the asset pricing model can be more precise with candidate factor selections. With characteristics as instruments, we only identify one factor, and the correlated characteristics are beta, size, momentum, and liquidity.","We analyze the out-of-sample performance of variables shown to forecast future mutual fund alphas. The degree of predictability, as measured by alpha spreads from quintile sorts or cross-sectional regression slopes, falls by at least half post-sample. These declines appear to be primarily the result of changes in the level of arbitrage activity in the market, with mutual fund competition appearing to play a secondary role. We find no evidence that the declines are the result of data snooping or learning by investors or fund managers. Finally, we show that corporate bond fund performance exhibits similar dependence on measures of bond market arbitrage activity.","We consider a model in which the correlation between shocks to consumption and to expected future consumption growth is nonzero and varies over time. We validate this assumption empirically using the model’s implication that time-variation in consumption growth persistence drives the correlation between stock and bond returns. Consistent with model predictions, we find that the stock/bond correlation is also related to the volatility of stock returns, the so-called stock market “leverage effect,” and the predictive relation between bond yields and future stock returns.",,
Jessie,Cheong,USC,Accounting,Yes,information acquisitions costs and the economic consequences,,,,yes,
Jon,Garfinkel,University of Iowa,Finance,No,"Finance and economics in the pharmaceutical industry (with associated granular data advantages). General corporate investment and financing behavior, as well as financial accounting.",One in three deals in the early-stage financing market involves an investor and founder from the same alma mater. We show that founders' connections to early-stage investors through shared education networks are more important than school academic quality or shared geography in facilitating access to funding. Early-stage investors tilt their portfolios toward startups from their alma mater and place larger bets on these firms. Connected investments outperform the same investors' non-connected investments. Our results are stronger where information about founder abilities is likely less clear.,"Business School faculty salaries are strongly correlated with top-ranked-journal publications. However, publishing outside the top-ranked journals is rewarded differently across fields, and the rewards are significantly lower in finance for publication outside of the “Top-3”(JF, JFE, RFS). Revealed preferences from a journal submission survey suggests these incentives guide finance scholars’ journal submission strategies. The lower probability of a top publication in finance raises their marginal value, leading to a higher average compensation structure. Opportunity costs of academic finance (versus finance industry), are also larger than those of other departments.","We study the effect of competition on firm innovation at the product level. We instrument shocks to competition in therapeutic areas with the FDA’s breakthrough designation therapy (BTD) indication. BTDs strongly associate with several indicators of future success, including announcement returns and eventual FDA approval to market the drug. BTD shocks discourage rivals’ innovation in that therapeutic area. The effect varies with the ex-ante competitiveness of the therapeutic area, as well as with the rival’s position (leader vs. follower) in that area, in a manner consistent with the theory by Aghion et al.(2005).",,
Ryan,Erhard,USC,Accounting,Yes,"Capital markets, disclosure, asset pricing, earnings announcements ","Implied equity duration was originally developed to analyze the sensitivity of equity prices to discount rate changes. We demonstrate that implied equity duration is also useful for analyzing the sensitivity of equity prices to pandemic shutdowns. Pandemic shutdowns primarily impact short‐term cash flows, thus they have a greater impact on low‐duration equities. We show that implied equity duration has a strong positive relation to U.S. equity returns and analyst forecast revisions during the onset of the 2020 COVID‐19 shutdown. Our analysis also demonstrates that the underperformance of “value” stocks during this period is a rational response to their lower durations.","We provide a new explanation for the profitability anomaly along with a battery of supportive empirical tests. Our explanation is based on the observation that investors frequently value stocks by assigning similar price-to-earnings multiples to stocks with similar expected firm growth. This naive approach to valuation results in a positive relation between profitability and future stock returns, and the relation is stronger in firms with higher growth. The relation arises because less profitable firms must issue additional equity in the future to finance growth, thus diluting the claims of existing stockholders to future earnings and cash flows.","Chordia and Miao (2020) provide evidence that low-latency trading (LLT) improves the long-term informational efficiency of stock prices. This discussion raises two primary concerns with their analysis. First, the mechanism through which LLT enhances long-term efficiency is unclear. Second, CM's measure of LLT trading activity is correlated with non-LLT trading activity, which may in turn cause the documented improvements in efficiency. We close by proposing an alternative explanation—changes in market microstructure have had a bifurcated impact on liquidity, enhancing efficiency for large and liquid stocks, but not for small and illiquid stocks.",,
Mani,Sethuraman,Cornell University,Accounting,No,"Management Communication, Debt Markets","We provide evidence that a firm’s investor base is a key factor in determining its media coverage. Using a large sample of US public companies spanning the period 2000-2019, we find that firm-specific media coverage is negatively associated with leverage. Our results suggest the media caters relatively more to equity investors, who largely rely on public information, than to debt investors, who are often privy to privileged information. We arrive at similar conclusions when we exploit plausibly exogenous changes in investor base and investor access to privileged information. Among debt investors, the media appears to cater to public bond holders more than private banks. Among equity investors, the media appears to cater to quasi-index institutions. Additionally, cross-sectional variation in media coverage based on investment and article types reveals that the media’s role is far more nuanced than previously documented. Overall, our findings suggest that financial media coverage is significantly influenced by less sophisticated professional investors’ demand for information to help monitor firms.","We uncover a tone transmission channel of monetary policy wherein the linguistic tone of press releases by the Fed shapes the linguistic tone of macro-related dialogues in corporate conference calls occurring days after such releases. Applying machine-learning techniques to a granular dataset of dialogues between managers and equity analysts during conference calls, we find that the tone of macro-related dialogues is reflected in both contemporaneous stock market reactions as well as subsequent equity analysts' stock recommendations. Critically, the semantic content of monetary policy releases is consistently observed in macro dialogues between managers and analysts. A large sample analysis suggests that the effect of monetary policy tone on corporate conference calls is stronger in more recent years and for major unconventional monetary policy announcements. Taken together, our results shed light on how economic agents interpret"" Fed Speak,''underscoring non-transitory effects of monetary policy communication.","We study whether relative power in the chief executive officer (CEO)–chief financial officer (CFO) relationship influences CEO compensation. To operationalize relative power of a CEO over a CFO, we define CFO co-option as the appointment of a CFO after a CEO assumes office. We find that CFO co-option is associated with a CEO pay premium of about 10%, which is concentrated more in the early years of the co-opted CFO’s tenure and in components of compensation that vary with the achievement of analyst-based earnings targets. Our evidence also indicates that a primary channel through which CEO power over a co-opted CFO yields the achievement of earnings targets is the use of earnings management to inflate earnings. Co-opted CFOs rely primarily on using discretionary accruals to manage earnings prior to the Sarbanes–Oxley regulatory intervention and switch to real-activities manipulation afterward. The evidence thus suggests that the form of earnings management depends on costs imposed on the CFO to inflate earnings.",,
Augusto,Orellana,USC,Finance,Yes,Corporate finance and executive compensation,,,,yes,
Yuan,Chen,USC,Accounting,Yes,I am interested in studying unstructured data using technologies including NLP. Generally disclosures and capital markets related topics.,"Heater, Nallareddy, and Venkatachalam (2021), hereafter HNV, find that aggregate merger and acquisition (M&A) activity explains the ability of aggregate accruals to predict market-wide returns. In this discussion, we delineate HNV's contribution to accounting literature and provide a review of the emerging stream of micro-to-macro accounting research. We also discuss HNV's findings in relation to research beyond accounting, including the literature on aggregate return prediction and mergers and acquisitions. Our discussion draws parallels between HNV's results and prior empirical evidence pertaining to aggregate investment and merger waves and identifies several puzzling inconsistencies. These inconsistencies highlight the lack of a clearly specified mechanism behind the return-predictive ability of aggregate M&A accruals. Finally, we point out the challenges posed by the small sample size and noisy measures of M&A accruals that may affect HNV's inferences. We conclude by suggesting several directions for future research.","We examine the link between product life cycles and disclosure using a novel 4-stage text-based life cycle model and report two main results. First, the standard link between competition and less disclosure holds primarily in the early product development life cycle stage, when product strategies are not fully public. Second, firms with mature-stage products disclose more, consistent with lowering search costs for an outward-focused investment strategy seeking synergistic partners. These results obtain across a wide array of disclosure policies and in a quasi natural experiment. Our interpretations are further supported by tests examining not only the sender of disclosure, but also the intended receiver.",,,
Mario,Milone,UC San Diego,Accounting,No,,"This paper shows that a data-based screening technology can increase the cost of financial intermediation. The use of data in the screening process reduces the acquisition of soft information by traditional lenders, which harms constrained borrowers further. Additionally, groups in which fewer borrowers were financed in the past are under-represented in the data, leading to a cross-sectional difference in screening efficiency. Screening is more efficient for borrowers with greater historical lending data. When traditional and technological lenders coexist, the borrowers about whom data can provide precise information raise funds from technological lenders while those with less informative historical data choose traditional lenders who can make up for the lack of hard data-based information by acquiring soft information. The intermediation cost is increased by the existence of technological lenders. I identify conditions under which traditional lenders benefit from restricting their own access to data-processing technology when competing against the technological lender.","Trading frictions due to inevitable transportation costs are fundamentally different from those due to rent extraction by transit countries. We propose a theoretical and empirical methodology to disentangle these two types of costs and assess the presence and global magnitude of a hold-up problem. We construct a new measure of distance based on a global network of the most likely trade routes. While transportation costs make all countries worse off, rent extraction benefits transit countries. Further, we show that in general equilibrium, countries that are neither landlocked nor transit countries bear a large share of the cost of distortions due to rent extraction. While free trade agreements with transit countries do not appear to mitigate the problem, customs unions do.","In addition to risky loans, banks hold risky securities that provide uncertain future liquidity. This leads them to choose an asset structure with their desired correlation between liquidity and long term asset returns. We show that liquidity management and risk management concerns lead to a trade-off that creates an inverse relationship between security holdings and aggregate asset risk. Capital requirements mitigate liquidity risk in all future states of the world, thereby reducing the cost of liquidity risk and leading banks to increase aggregate asset risk. Liquidity requirements such as the Liquidity Coverage Ratio (LCR) affect high liquidity shock states and mitigate aggregate asset risk-taking. These results highlight the tension between capital and liquidity regulations in addressing the risk taking incentives of financial intermediaries.",,
Randy,Beatty,USC,Accounting,No,corporate control empirical financial research,"Our study documents a “Lemons” market failure of Chinese firms listed in the US in 2011 and a subsequent rebound by 2013. Our tests reveal that there was little difference in ex ante observable characteristics of fraudulent and non-fraudulent Chinese firms listed in the US prior to 2011 while entrepreneurs appear to have known their type. We document substantial costs of dishonesty and the failure of traditional market signaling mechanisms such as auditor or underwriter quality. We also show a return of Chinese firms after US and Chinese regulatory intervention in 2013 although this intervention was insufficient to fundamentally change the character of this market. Importantly, we find that factors capturing ex post settling up costs such as North America sales and CEO’s US education reduced the probability of financial fraud. Our results support the importance of legal and regulatory institutions as a necessary condition for properly functioning capital markets.","Akerlof’s (1970) seminal work provides a framework for a market failure and discusses the consequences of quality uncertainty. We hypothesize and find that a classic “Lemons” market occurred in recent Chinese IPO firms listed in the US. Our study provides empirical evidence of a severe market failure that has rarely been documented in the literature - Chinese firm US IPOs became almost extinct by 2012. Our tests reveal that there is little difference inex anteobservable characteristics of “good” (non-fraudulent ) versus “bad” (fraudulent) firms when the Chinese IPO firms went public while entrepreneurs know their type as suggested by theirex postprivatizations. Our evidence indicates the existence of severe information asymmetry and substantial cost of dishonesty. We find little evidence that traditional market mechanisms such as short selling behavior, auditor quality or underwriter reputation provide credible signals of firm quality. We further find that factors capturing potentialex postsettling up costs such as North America sales and CEO’s US education are less likely associated with financial frauds. Our findings support the efforts of Chinese and U.S. regulators in removing information search barrier and increasing enforcement cooperation.",,,
Allan,Timmermann,UC San Diego,Finance,No,"asset pricing, mutual fund performance, economic forecasting","For many benchmark predictor variables, short-horizon return predictability in the US stock market is local in time as short periods with significant predictability ('pockets') are interspersed with long periods with little or no evidence of return predictability. We document this result empirically using a flexible time-varying parameter model which estimates predictive coefficients as a nonparametric function of time and explore possible explanations of this finding, including time-varying risk-premia for which we only find limited support. Conversely, pockets of return predictability are consistent with a sticky expectations model in which investors only slowly update their beliefs about a persistent component in the cash flow process.","We develop novel forecasting methods for panel data with heterogeneous parameters and examine them together with existing approaches. We conduct a systematic comparison of their predictive accuracy in settings with different cross-sectional (N) and time (T) dimensions and varying degrees of parameter heterogeneity. We investigate conditions under which panel forecasting methods can perform better than forecasts based on individual estimates and demonstrate how gains in predictive accuracy depend on the degree of parameter heterogeneity, whether heterogeneity is correlated with the regressors, the goodness of fit of the model, and, particularly, the time dimension of the data set. We propose optimal combination weights for forecasts based on pooled and individual estimates and develop a novel forecast poolability test that can be used as a pretesting tool. Through a set of Monte Carlo simulations and three empirical applications to house prices, CPI inflation, and stock returns, we show that no single forecasting approach dominates uniformly. However, forecast combination and shrinkage methods provide better overall forecasting performance and offer more attractive risk profiles compared to individual, pooled, and random effects methods.","It is rare for the forecasts of one economic forecasting model to always be more accurate than the forecasts from an alternative model. This suggests the possibility of implementing a switching strategy that chooses, at each point in time, the forecasting model that is expected to be most accurate conditional on a set of instruments that are used to track the relative accuracy of the underlying forecasts. The authors analyze the factors determining the expected gains from such a switching rule over a strategy of always using one of the underlying forecasts. The authors derive bounds on the expected gains from switching for both the nested and non-nested cases and also analyze the case with a highly persistent (near-unit root) predictor variable.",,
Stephan,Heller,Harvard Business School,Finance,No,"Mutual Funds, Machine Learning :)",,,,yes,
